income,age,sex,employment,education
15000,24,Male,Employee of a private for profit,Associate's degree
160000,30,Male,Self employed incorporated,Associate's degree
27000,26,Male,Employee of a private for profit,Regular high school diploma
60000,26,Male,Employee of a private for profit,Regular high school diploma
89000,30,Female,Employee of a private for profit,Regular high school diploma
3200,20,Male,Employee of a private for profit,Regular high school diploma
25000,35,Male,Employee of a private for profit,Regular high school diploma
24000,23,Male,Employee of a private for profit,Regular high school diploma
30000,23,Male,Employee of a private for profit,Bachelor's degree
15000,33,Female,Employee of a private for profit,"some college credit, no degree"
98000,42,Female,Local government employee,Master's degree
18000,32,Male,Employee of a private for profit,Bachelor's degree
170000,44,Female,Employee of a private for profit,Professional degree
51000,42,Male,Employee of a private for profit,no high school diploma
30000,31,Female,Employee of a private for profit,Regular high school diploma
26400,47,Male,Employee of a private for profit,no high school diploma
30000,27,Male,Employee of a private for profit,Associate's degree
78000,32,Female,Federal government employee,Associate's degree
16000,22,Female,Employee of a private for profit,Regular high school diploma
95000,41,Male,Employee of a private for profit,Bachelor's degree
58000,32,Female,Employee of a private for profit,Bachelor's degree
8300,26,Female,Employee of a private for profit,"some college credit, no degree"
12000,30,Male,Self employed not incorporated,no high school diploma
128000,37,Male,Local government employee,Bachelor's degree
65000,30,Female,Employee of a private for profit,Bachelor's degree
20000,36,Male,Self employed incorporated,GED or alternative credential
51060,40,Male,Local government employee,Master's degree
20000,27,Female,Employee of a private for profit,Regular high school diploma
30000,44,Male,Employee of a private for profit,Regular high school diploma
25000,26,Female,Employee of a private for profit,Bachelor's degree
27000,49,Male,Employee of a private for profit,no high school diploma
71000,42,Male,Employee of a private for profit,Bachelor's degree
127000,38,Female,Local government employee,Master's degree
65000,35,Male,Employee of a private for profit,"some college credit, no degree"
45000,48,Male,Employee of a private for profit,Regular high school diploma
30000,41,Female,Employee of a private for profit,Associate's degree
80000,36,Male,Private not-for-profit employee,"some college credit, no degree"
36000,25,Male,Employee of a private for profit,"some college credit, no degree"
35000,39,Male,Employee of a private for profit,GED or alternative credential
95000,39,Male,Employee of a private for profit,Bachelor's degree
90000,48,Male,Local government employee,"some college credit, no degree"
14000,41,Male,Employee of a private for profit,no high school diploma
30900,35,Male,Employee of a private for profit,Bachelor's degree
160100,42,Male,Employee of a private for profit,Bachelor's degree
23000,48,Female,Employee of a private for profit,no high school diploma
19300,44,Male,Employee of a private for profit,Regular high school diploma
40000,36,Male,Employee of a private for profit,"some college credit, no degree"
32500,34,Male,Employee of a private for profit,GED or alternative credential
65000,33,Male,Employee of a private for profit,"some college credit, no degree"
18000,47,Female,Employee of a private for profit,Regular high school diploma
65000,22,Male,Employee of a private for profit,Bachelor's degree
90000,50,Female,Employee of a private for profit,Bachelor's degree
111000,32,Male,Employee of a private for profit,Bachelor's degree
160000,34,Male,Employee of a private for profit,Doctorate degree
68000,48,Female,Private not-for-profit employee,Master's degree
65000,50,Male,Self employed not incorporated,Regular high school diploma
26500,43,Female,Employee of a private for profit,no high school diploma
70000,28,Male,Employee of a private for profit,"some college credit, no degree"
20380,44,Female,Employee of a private for profit,Regular high school diploma
49000,35,Female,Self employed incorporated,"some college credit, no degree"
30000,31,Male,Employee of a private for profit,"some college credit, no degree"
25000,31,Male,Employee of a private for profit,Regular high school diploma
75000,38,Male,Employee of a private for profit,"some college credit, no degree"
40000,50,Female,Employee of a private for profit,Bachelor's degree
1.00E+05,37,Female,Employee of a private for profit,Master's degree
12000,25,Male,Employee of a private for profit,Regular high school diploma
250000,43,Male,Self employed incorporated,Master's degree
52000,30,Female,Employee of a private for profit,"some college credit, no degree"
60000,21,Male,Employee of a private for profit,Regular high school diploma
23000,20,Male,Employee of a private for profit,Regular high school diploma
54000,43,Male,Local government employee,GED or alternative credential
96000,43,Female,Employee of a private for profit,Bachelor's degree
12000,28,Female,Employee of a private for profit,"some college credit, no degree"
40000,31,Male,Employee of a private for profit,Associate's degree
92000,49,Female,Employee of a private for profit,Bachelor's degree
45000,27,Male,Employee of a private for profit,"some college credit, no degree"
44000,45,Female,Employee of a private for profit,no high school diploma
50000,32,Female,Employee of a private for profit,"some college credit, no degree"
70000,42,Male,Employee of a private for profit,Regular high school diploma
40000,36,Female,Employee of a private for profit,Bachelor's degree
70000,40,Male,Private not-for-profit employee,"some college credit, no degree"
30004,34,Male,Self employed not incorporated,"some college credit, no degree"
24800,20,Male,Employee of a private for profit,Regular high school diploma
20000,48,Female,Employee of a private for profit,no high school diploma
250000,45,Male,Employee of a private for profit,Bachelor's degree
75000,40,Male,State government employee,Regular high school diploma
120000,44,Male,Employee of a private for profit,Bachelor's degree
18000,21,Male,Employee of a private for profit,Regular high school diploma
143000,42,Male,Private not-for-profit employee,Doctorate degree
90000,34,Male,Employee of a private for profit,Bachelor's degree
35000,41,Male,Employee of a private for profit,GED or alternative credential
41000,40,Male,Employee of a private for profit,"some college credit, no degree"
146000,40,Female,Employee of a private for profit,Bachelor's degree
35000,28,Male,Employee of a private for profit,no high school diploma
80000,28,Male,Employee of a private for profit,Master's degree
70000,27,Female,Employee of a private for profit,Bachelor's degree
80000,38,Male,Employee of a private for profit,"some college credit, no degree"
80000,40,Male,Employee of a private for profit,"some college credit, no degree"
22000,42,Female,Employee of a private for profit,no high school diploma
40000,25,Female,Local government employee,"some college credit, no degree"
83000,41,Male,Private not-for-profit employee,Master's degree
220100,38,Male,Employee of a private for profit,Bachelor's degree
105000,26,Male,Employee of a private for profit,Master's degree
9000,45,Female,Employee of a private for profit,no high school diploma
48000,43,Female,Employee of a private for profit,Regular high school diploma
30000,27,Male,Employee of a private for profit,"some college credit, no degree"
25000,28,Female,Private not-for-profit employee,Bachelor's degree
22000,41,Female,Employee of a private for profit,Bachelor's degree
105000,29,Female,Employee of a private for profit,Bachelor's degree
10000,47,Male,Employee of a private for profit,Regular high school diploma
44000,29,Female,Employee of a private for profit,Bachelor's degree
50000,27,Female,Local government employee,Bachelor's degree
87000,39,Male,Employee of a private for profit,Bachelor's degree
60000,27,Female,Employee of a private for profit,"some college credit, no degree"
25000,33,Female,Employee of a private for profit,Regular high school diploma
148000,42,Male,Employee of a private for profit,"some college credit, no degree"
127500,50,Male,Private not-for-profit employee,Bachelor's degree
88000,46,Male,Employee of a private for profit,Regular high school diploma
120000,37,Female,Employee of a private for profit,Master's degree
40000,26,Female,Employee of a private for profit,Bachelor's degree
12000,32,Female,Employee of a private for profit,Associate's degree
50000,28,Male,State government employee,Bachelor's degree
111000,35,Female,Federal government employee,Bachelor's degree
35000,31,Male,Employee of a private for profit,Regular high school diploma
38000,36,Female,Employee of a private for profit,Regular high school diploma
67000,35,Female,Employee of a private for profit,Bachelor's degree
50000,50,Male,Self employed not incorporated,Professional degree
209000,44,Female,Employee of a private for profit,Bachelor's degree
175000,50,Male,Employee of a private for profit,Associate's degree
22900,22,Male,Employee of a private for profit,Regular high school diploma
72000,46,Male,State government employee,Bachelor's degree
52000,28,Female,Employee of a private for profit,Regular high school diploma
120000,48,Male,Employee of a private for profit,Bachelor's degree
33000,30,Male,Employee of a private for profit,Associate's degree
18000,31,Male,Employee of a private for profit,Regular high school diploma
78000,31,Male,Employee of a private for profit,Bachelor's degree
165000,30,Female,Private not-for-profit employee,Master's degree
13000,32,Male,Employee of a private for profit,Regular high school diploma
91800,39,Male,Employee of a private for profit,Master's degree
140000,27,Female,Private not-for-profit employee,Bachelor's degree
32000,30,Male,Employee of a private for profit,Bachelor's degree
24000,42,Male,Self employed not incorporated,Master's degree
48000,35,Female,Self employed incorporated,Master's degree
32000,31,Male,Employee of a private for profit,Regular high school diploma
180000,36,Male,Employee of a private for profit,"some college credit, no degree"
1.00E+05,31,Female,Employee of a private for profit,Master's degree
250000,48,Male,Employee of a private for profit,Bachelor's degree
27250,36,Female,Employee of a private for profit,no high school diploma
24000,26,Male,Employee of a private for profit,Associate's degree
30000,38,Male,Private not-for-profit employee,Doctorate degree
65000,32,Male,Employee of a private for profit,"some college credit, no degree"
60000,38,Male,Employee of a private for profit,Regular high school diploma
108200,36,Female,Employee of a private for profit,Bachelor's degree
129000,30,Male,Employee of a private for profit,Bachelor's degree
5000,21,Male,Employee of a private for profit,Bachelor's degree
113000,42,Male,Employee of a private for profit,Bachelor's degree
38000,41,Female,Employee of a private for profit,no high school diploma
120000,42,Male,Self employed incorporated,"some college credit, no degree"
52000,35,Male,Employee of a private for profit,no high school diploma
22000,45,Female,Employee of a private for profit,Regular high school diploma
116200,44,Male,Local government employee,Bachelor's degree
110000,47,Female,Employee of a private for profit,Bachelor's degree
90000,40,Female,Employee of a private for profit,Bachelor's degree
140000,36,Female,State government employee,Bachelor's degree
50000,43,Female,State government employee,Bachelor's degree
40000,39,Male,Self employed not incorporated,no high school diploma
45000,28,Male,Employee of a private for profit,Associate's degree
20000,36,Female,Employee of a private for profit,Regular high school diploma
60000,32,Male,Employee of a private for profit,Bachelor's degree
25000,30,Female,Employee of a private for profit,no high school diploma
70000,30,Female,Employee of a private for profit,Bachelor's degree
108000,32,Female,Employee of a private for profit,"some college credit, no degree"
95000,43,Male,Employee of a private for profit,Bachelor's degree
150000,45,Male,Employee of a private for profit,Bachelor's degree
120000,34,Male,Employee of a private for profit,Bachelor's degree
93000,35,Female,Local government employee,Bachelor's degree
84000,27,Male,Employee of a private for profit,"some college credit, no degree"
35000,31,Female,Employee of a private for profit,Regular high school diploma
57000,33,Male,Employee of a private for profit,Bachelor's degree
50000,26,Male,Employee of a private for profit,Regular high school diploma
28000,27,Female,Employee of a private for profit,Regular high school diploma
14000,46,Female,Employee of a private for profit,no high school diploma
45000,48,Male,Employee of a private for profit,no high school diploma
19000,33,Male,Employee of a private for profit,no high school diploma
20000,44,Female,State government employee,Bachelor's degree
25000,38,Male,Employee of a private for profit,Regular high school diploma
27000,38,Female,Employee of a private for profit,"some college credit, no degree"
25500,46,Female,Employee of a private for profit,no high school diploma
30000,34,Male,Employee of a private for profit,Bachelor's degree
46000,32,Male,Local government employee,Associate's degree
21000,25,Male,Employee of a private for profit,Regular high school diploma
28000,24,Female,Employee of a private for profit,Bachelor's degree
20200,30,Female,Employee of a private for profit,"some college credit, no degree"
51000,33,Female,Employee of a private for profit,Regular high school diploma
95000,25,Female,Employee of a private for profit,Master's degree
105000,32,Female,Local government employee,Bachelor's degree
177500,43,Female,Employee of a private for profit,Bachelor's degree
60000,50,Male,Self employed incorporated,Regular high school diploma
95500,27,Male,Employee of a private for profit,Bachelor's degree
25000,34,Male,Employee of a private for profit,no high school diploma
110000,37,Male,Employee of a private for profit,Bachelor's degree
30000,26,Male,Employee of a private for profit,"some college credit, no degree"
35000,38,Female,Employee of a private for profit,Bachelor's degree
24000,41,Male,Employee of a private for profit,no high school diploma
120000,30,Male,Employee of a private for profit,Bachelor's degree
170000,42,Female,Employee of a private for profit,Bachelor's degree
60000,36,Female,Employee of a private for profit,Doctorate degree
32000,37,Female,Employee of a private for profit,"some college credit, no degree"
9000,38,Male,Employee of a private for profit,"some college credit, no degree"
25000,28,Male,Employee of a private for profit,"some college credit, no degree"
25500,43,Female,Private not-for-profit employee,"some college credit, no degree"
120000,49,Male,Local government employee,"some college credit, no degree"
6700,28,Female,Self employed incorporated,"some college credit, no degree"
140000,36,Male,Employee of a private for profit,Doctorate degree
161000,41,Male,Employee of a private for profit,"some college credit, no degree"
21000,31,Male,Employee of a private for profit,Regular high school diploma
106000,49,Female,State government employee,"some college credit, no degree"
126200,37,Male,Employee of a private for profit,Master's degree
53000,41,Female,Employee of a private for profit,Bachelor's degree
30000,42,Female,Employee of a private for profit,no high school diploma
20000,38,Male,Employee of a private for profit,no high school diploma
12000,21,Male,Employee of a private for profit,no high school diploma
40000,27,Female,Local government employee,"some college credit, no degree"
25000,30,Female,Employee of a private for profit,"some college credit, no degree"
72000,45,Male,Local government employee,Master's degree
70000,45,Female,Employee of a private for profit,Master's degree
27600,23,Male,Employee of a private for profit,"some college credit, no degree"
40000,24,Male,Employee of a private for profit,Bachelor's degree
16000,40,Female,Employee of a private for profit,Regular high school diploma
45400,24,Female,Employee of a private for profit,Bachelor's degree
180000,40,Male,Employee of a private for profit,Master's degree
40000,38,Female,Employee of a private for profit,"some college credit, no degree"
88000,24,Male,Employee of a private for profit,Bachelor's degree
60000,28,Female,Employee of a private for profit,Bachelor's degree
30000,24,Male,Federal government employee,"some college credit, no degree"
24000,32,Male,Employee of a private for profit,"some college credit, no degree"
74000,48,Male,Employee of a private for profit,no high school diploma
22000,46,Female,Self employed incorporated,Regular high school diploma
41600,35,Male,Private not-for-profit employee,no high school diploma
20000,32,Male,Employee of a private for profit,"some college credit, no degree"
40000,24,Male,Employee of a private for profit,no high school diploma
35000,26,Female,Local government employee,Bachelor's degree
80000,43,Female,Employee of a private for profit,Associate's degree
30000,49,Female,Private not-for-profit employee,"some college credit, no degree"
36000,21,Male,Employee of a private for profit,Regular high school diploma
56000,42,Male,Employee of a private for profit,Regular high school diploma
130000,46,Female,Employee of a private for profit,Master's degree
38000,47,Male,Employee of a private for profit,no high school diploma
14000,43,Female,Employee of a private for profit,no high school diploma
20000,37,Female,Employee of a private for profit,Regular high school diploma
16000,30,Female,Employee of a private for profit,no high school diploma
50000,29,Female,Employee of a private for profit,Bachelor's degree
55000,29,Male,Employee of a private for profit,Regular high school diploma
150000,26,Male,Employee of a private for profit,Bachelor's degree
30000,27,Male,Employee of a private for profit,"some college credit, no degree"
50000,44,Male,Local government employee,Regular high school diploma
95000,48,Male,Employee of a private for profit,Master's degree
1800,44,Female,Employee of a private for profit,GED or alternative credential
19100,21,Male,Employee of a private for profit,Associate's degree
16000,27,Male,Employee of a private for profit,no high school diploma
9000,26,Male,State government employee,Master's degree
35000,44,Male,Employee of a private for profit,Regular high school diploma
12000,22,Male,Employee of a private for profit,Associate's degree
95000,49,Female,Employee of a private for profit,Regular high school diploma
9000,25,Female,Employee of a private for profit,Bachelor's degree
72000,39,Female,Employee of a private for profit,"some college credit, no degree"
1.00E+05,48,Male,Federal government employee,Master's degree
31000,49,Female,Local government employee,"some college credit, no degree"
141000,35,Female,Employee of a private for profit,Doctorate degree
19200,30,Male,Employee of a private for profit,no high school diploma
125000,48,Female,Employee of a private for profit,Bachelor's degree
18000,24,Male,Private not-for-profit employee,"some college credit, no degree"
90000,49,Male,Employee of a private for profit,"some college credit, no degree"
60000,39,Female,Self employed incorporated,Master's degree
15000,33,Male,Employee of a private for profit,Regular high school diploma
70000,28,Male,Employee of a private for profit,Bachelor's degree
20000,50,Female,Employee of a private for profit,Regular high school diploma
38700,34,Male,Employee of a private for profit,Associate's degree
15000,47,Male,Self employed incorporated,Professional degree
50000,30,Female,Private not-for-profit employee,Bachelor's degree
12000,32,Female,Employee of a private for profit,no high school diploma
120000,26,Female,Employee of a private for profit,Master's degree
134500,44,Male,Federal government employee,"some college credit, no degree"
115000,50,Female,Employee of a private for profit,Bachelor's degree
80000,44,Female,Local government employee,Bachelor's degree
60000,32,Male,Employee of a private for profit,Bachelor's degree
18000,26,Male,Employee of a private for profit,Regular high school diploma
100600,31,Male,Employee of a private for profit,Bachelor's degree
60000,34,Female,Employee of a private for profit,Bachelor's degree
43000,42,Female,State government employee,Associate's degree
40000,42,Male,Employee of a private for profit,GED or alternative credential
35000,27,Male,Employee of a private for profit,Bachelor's degree
26000,42,Male,Employee of a private for profit,Bachelor's degree
150000,34,Female,Employee of a private for profit,Master's degree
20000,33,Male,Local government employee,"some college credit, no degree"
40000,30,Male,Employee of a private for profit,"some college credit, no degree"
22700,46,Female,Self employed not incorporated,"some college credit, no degree"
24000,23,Male,Employee of a private for profit,Regular high school diploma
60000,32,Female,Private not-for-profit employee,Master's degree
5600,35,Female,Employee of a private for profit,Associate's degree
35500,31,Female,Employee of a private for profit,Bachelor's degree
40000,31,Female,Self employed not incorporated,Bachelor's degree
173000,38,Female,Employee of a private for profit,"some college credit, no degree"
38000,39,Female,Private not-for-profit employee,"some college credit, no degree"
26000,24,Female,Employee of a private for profit,no high school diploma
53000,48,Male,Employee of a private for profit,no high school diploma
19200,38,Male,Employee of a private for profit,Associate's degree
40000,22,Female,Self employed incorporated,"some college credit, no degree"
49900,27,Female,State government employee,Bachelor's degree
30000,33,Male,Employee of a private for profit,Regular high school diploma
90000,33,Male,Employee of a private for profit,Bachelor's degree
44200,40,Female,Employee of a private for profit,Associate's degree
12000,46,Male,Employee of a private for profit,no high school diploma
22000,26,Male,Employee of a private for profit,Regular high school diploma
4500,31,Female,Self employed not incorporated,"some college credit, no degree"
70000,48,Male,Employee of a private for profit,Regular high school diploma
1.00E+05,43,Male,Employee of a private for profit,Bachelor's degree
50000,45,Female,Local government employee,Master's degree
28000,20,Female,Employee of a private for profit,"some college credit, no degree"
38300,42,Male,Employee of a private for profit,Regular high school diploma
52000,39,Male,Self employed not incorporated,GED or alternative credential
55000,46,Female,Local government employee,Bachelor's degree
7200,23,Male,Employee of a private for profit,"some college credit, no degree"
41000,48,Female,Employee of a private for profit,Bachelor's degree
50000,26,Male,Employee of a private for profit,Regular high school diploma
102000,43,Female,Employee of a private for profit,Associate's degree
115500,29,Male,Employee of a private for profit,Master's degree
40000,46,Male,Employee of a private for profit,Regular high school diploma
1.00E+05,33,Female,Employee of a private for profit,Bachelor's degree
14500,42,Male,Self employed not incorporated,Bachelor's degree
164000,41,Female,Private not-for-profit employee,Bachelor's degree
19000,39,Male,Employee of a private for profit,GED or alternative credential
55000,29,Female,Employee of a private for profit,Bachelor's degree
20000,43,Male,Employee of a private for profit,Regular high school diploma
55000,29,Male,State government employee,Bachelor's degree
15000,24,Female,Self employed not incorporated,"some college credit, no degree"
34000,39,Male,Employee of a private for profit,no high school diploma
12000,24,Female,Employee of a private for profit,"some college credit, no degree"
190000,47,Female,Private not-for-profit employee,Bachelor's degree
51000,35,Male,Employee of a private for profit,"some college credit, no degree"
68000,39,Female,Private not-for-profit employee,Master's degree
32000,43,Female,Private not-for-profit employee,no high school diploma
120010,36,Male,Employee of a private for profit,Bachelor's degree
21000,46,Male,Employee of a private for profit,no high school diploma
22000,49,Female,Employee of a private for profit,no high school diploma
124800,47,Male,Employee of a private for profit,Master's degree
185000,36,Male,Employee of a private for profit,Bachelor's degree
30000,41,Female,Employee of a private for profit,Regular high school diploma
81900,47,Male,Employee of a private for profit,Bachelor's degree
35000,33,Male,Employee of a private for profit,"some college credit, no degree"
41500,42,Male,Employee of a private for profit,"some college credit, no degree"
117000,47,Male,Local government employee,Associate's degree
36000,50,Female,Employee of a private for profit,"some college credit, no degree"
4800,25,Male,Employee of a private for profit,Regular high school diploma
60000,27,Female,Employee of a private for profit,Bachelor's degree
16000,30,Female,Employee of a private for profit,no high school diploma
5970,34,Male,Employee of a private for profit,Master's degree
94000,26,Male,Employee of a private for profit,Bachelor's degree
15000,28,Male,Employee of a private for profit,Regular high school diploma
31700,34,Female,Employee of a private for profit,"some college credit, no degree"
22400,36,Female,Employee of a private for profit,no high school diploma
30000,39,Male,Self employed not incorporated,Bachelor's degree
1.00E+05,33,Female,Employee of a private for profit,Bachelor's degree
50000,42,Male,Employee of a private for profit,"some college credit, no degree"
36000,31,Female,Private not-for-profit employee,Professional degree
14000,34,Male,Employee of a private for profit,"some college credit, no degree"
30000,28,Female,Employee of a private for profit,"some college credit, no degree"
20000,24,Male,Local government employee,Bachelor's degree
49000,32,Female,Federal government employee,Bachelor's degree
100010,45,Male,Employee of a private for profit,Bachelor's degree
25000,32,Male,Employee of a private for profit,Regular high school diploma
10000,48,Female,Employee of a private for profit,no high school diploma
45000,40,Male,Self employed not incorporated,Regular high school diploma
23000,40,Female,Employee of a private for profit,"some college credit, no degree"
200100,35,Female,Employee of a private for profit,Professional degree
40000,48,Male,Private not-for-profit employee,"some college credit, no degree"
80000,34,Male,Employee of a private for profit,Bachelor's degree
30000,32,Female,Employee of a private for profit,Associate's degree
50000,41,Male,Self employed not incorporated,Associate's degree
1.00E+05,27,Male,Employee of a private for profit,Bachelor's degree
85000,29,Female,Employee of a private for profit,Bachelor's degree
81000,43,Female,Employee of a private for profit,Master's degree
18500,20,Female,Employee of a private for profit,"some college credit, no degree"
35000,36,Female,Employee of a private for profit,"some college credit, no degree"
32000,48,Male,Employee of a private for profit,Regular high school diploma
31000,27,Female,Private not-for-profit employee,Bachelor's degree
30000,49,Male,Employee of a private for profit,Regular high school diploma
29000,33,Female,State government employee,Bachelor's degree
16000,27,Female,Employee of a private for profit,Associate's degree
70000,49,Male,Employee of a private for profit,Bachelor's degree
50000,32,Male,Employee of a private for profit,Regular high school diploma
55000,28,Male,Employee of a private for profit,"some college credit, no degree"
147000,43,Male,Employee of a private for profit,Bachelor's degree
38300,41,Male,Employee of a private for profit,Bachelor's degree
118000,38,Male,Employee of a private for profit,Professional degree
60000,38,Female,Federal government employee,Associate's degree
40000,29,Female,Employee of a private for profit,Regular high school diploma
26000,35,Male,Employee of a private for profit,Regular high school diploma
38400,29,Male,Employee of a private for profit,"some college credit, no degree"
80000,33,Male,Employee of a private for profit,Master's degree
30000,37,Female,Employee of a private for profit,Regular high school diploma
132000,36,Male,Private not-for-profit employee,Doctorate degree
32000,32,Male,State government employee,Regular high school diploma
55000,26,Female,Local government employee,"some college credit, no degree"
2.00E+05,44,Male,Employee of a private for profit,Bachelor's degree
50000,36,Male,Employee of a private for profit,Regular high school diploma
26000,43,Female,Employee of a private for profit,Master's degree
36000,38,Female,Employee of a private for profit,Bachelor's degree
80000,50,Female,Employee of a private for profit,Master's degree
25000,28,Female,Employee of a private for profit,Regular high school diploma
10000,36,Male,Employee of a private for profit,Master's degree
48000,29,Female,Employee of a private for profit,Bachelor's degree
38000,33,Female,Employee of a private for profit,Associate's degree
30000,25,Male,Employee of a private for profit,Bachelor's degree
59000,44,Male,Employee of a private for profit,no high school diploma
19200,47,Male,Employee of a private for profit,no high school diploma
18200,20,Male,Employee of a private for profit,"some college credit, no degree"
31000,40,Female,Employee of a private for profit,"some college credit, no degree"
85000,40,Female,Employee of a private for profit,Bachelor's degree
16000,49,Female,Self employed not incorporated,"some college credit, no degree"
18000,49,Female,Employee of a private for profit,no high school diploma
60000,46,Male,Employee of a private for profit,Regular high school diploma
70000,46,Male,State government employee,Master's degree
60000,43,Male,Employee of a private for profit,Regular high school diploma
54000,33,Male,Employee of a private for profit,"some college credit, no degree"
28800,32,Male,Employee of a private for profit,"some college credit, no degree"
8000,37,Male,Self employed not incorporated,no high school diploma
17300,28,Female,Employee of a private for profit,Regular high school diploma
35000,45,Male,Self employed not incorporated,no high school diploma
30300,23,Female,Private not-for-profit employee,Bachelor's degree
190500,40,Male,Employee of a private for profit,Bachelor's degree
14000,22,Male,Employee of a private for profit,Regular high school diploma
60000,40,Male,Federal government employee,"some college credit, no degree"
36000,30,Male,Employee of a private for profit,Regular high school diploma
43000,40,Male,Employee of a private for profit,Regular high school diploma
30000,37,Male,Self employed not incorporated,"some college credit, no degree"
25000,24,Female,Employee of a private for profit,Regular high school diploma
120000,43,Female,Employee of a private for profit,Bachelor's degree
75000,46,Male,Employee of a private for profit,"some college credit, no degree"
21100,36,Female,Employee of a private for profit,"some college credit, no degree"
145000,33,Male,Employee of a private for profit,"some college credit, no degree"
22000,34,Male,Employee of a private for profit,no high school diploma
55000,45,Male,Employee of a private for profit,"some college credit, no degree"
83000,36,Male,Employee of a private for profit,Regular high school diploma
98000,47,Male,Employee of a private for profit,Regular high school diploma
37800,43,Male,Employee of a private for profit,Associate's degree
31500,27,Male,Self employed not incorporated,Doctorate degree
30000,30,Male,Self employed incorporated,Bachelor's degree
38600,29,Male,Employee of a private for profit,"some college credit, no degree"
12000,29,Female,Employee of a private for profit,Regular high school diploma
32000,32,Female,Employee of a private for profit,Regular high school diploma
10000,27,Female,Employee of a private for profit,no high school diploma
21000,24,Male,Employee of a private for profit,Bachelor's degree
68000,47,Male,Employee of a private for profit,GED or alternative credential
36000,34,Male,Employee of a private for profit,Regular high school diploma
85000,27,Male,Local government employee,"some college credit, no degree"
50000,48,Male,Employee of a private for profit,Regular high school diploma
36400,36,Female,Employee of a private for profit,Regular high school diploma
20800,43,Male,Employee of a private for profit,no high school diploma
20800,32,Female,Private not-for-profit employee,"some college credit, no degree"
57000,34,Male,Employee of a private for profit,"some college credit, no degree"
30000,38,Male,Employee of a private for profit,Regular high school diploma
48000,38,Female,Employee of a private for profit,"some college credit, no degree"
55000,34,Male,Employee of a private for profit,Associate's degree
30200,27,Female,State government employee,Bachelor's degree
30000,44,Male,Employee of a private for profit,no high school diploma
125000,35,Male,Employee of a private for profit,Bachelor's degree
74000,47,Male,Employee of a private for profit,Bachelor's degree
35000,26,Male,Employee of a private for profit,no high school diploma
35000,43,Male,Self employed incorporated,Associate's degree
70000,25,Male,Employee of a private for profit,Bachelor's degree
26000,31,Male,Employee of a private for profit,no high school diploma
19200,27,Male,Employee of a private for profit,Regular high school diploma
20000,27,Male,Private not-for-profit employee,no high school diploma
33000,25,Female,Local government employee,Bachelor's degree
19200,46,Male,Employee of a private for profit,no high school diploma
45000,44,Male,Local government employee,Regular high school diploma
22000,24,Male,Employee of a private for profit,Regular high school diploma
51000,42,Female,State government employee,Professional degree
40000,30,Male,Employee of a private for profit,"some college credit, no degree"
63000,50,Male,Employee of a private for profit,Regular high school diploma
16000,34,Male,Self employed incorporated,Master's degree
39000,28,Female,Private not-for-profit employee,Bachelor's degree
17000,29,Male,Employee of a private for profit,no high school diploma
40800,28,Male,Employee of a private for profit,Bachelor's degree
58000,44,Male,State government employee,"some college credit, no degree"
89000,35,Female,Federal government employee,Master's degree
26000,33,Male,Employee of a private for profit,Master's degree
29700,31,Female,Employee of a private for profit,Bachelor's degree
2.00E+05,42,Male,Employee of a private for profit,Doctorate degree
120200,31,Male,Employee of a private for profit,Bachelor's degree
3000,25,Male,Employee of a private for profit,no high school diploma
80000,26,Male,Employee of a private for profit,Bachelor's degree
33000,40,Female,Employee of a private for profit,"some college credit, no degree"
115000,28,Female,Employee of a private for profit,Bachelor's degree
40000,36,Male,Employee of a private for profit,Regular high school diploma
240000,42,Male,Employee of a private for profit,Bachelor's degree
40800,30,Female,Local government employee,Bachelor's degree
67000,48,Male,Employee of a private for profit,"some college credit, no degree"
36000,30,Female,Employee of a private for profit,Bachelor's degree
40000,36,Female,Employee of a private for profit,Bachelor's degree
26800,31,Female,Employee of a private for profit,Regular high school diploma
55000,49,Female,Employee of a private for profit,Master's degree
27000,30,Male,Employee of a private for profit,"some college credit, no degree"
80000,46,Female,Employee of a private for profit,Regular high school diploma
35000,42,Female,Private not-for-profit employee,"some college credit, no degree"
45000,29,Male,Employee of a private for profit,Bachelor's degree
23500,25,Female,Employee of a private for profit,Bachelor's degree
68000,40,Female,Employee of a private for profit,Associate's degree
65000,50,Male,State government employee,Associate's degree
1.00E+05,38,Male,Employee of a private for profit,Master's degree
144000,41,Male,Employee of a private for profit,Master's degree
30000,46,Female,Employee of a private for profit,GED or alternative credential
121000,43,Female,Employee of a private for profit,"some college credit, no degree"
45000,41,Male,Employee of a private for profit,no high school diploma
31200,26,Female,Private not-for-profit employee,Bachelor's degree
104000,43,Male,Employee of a private for profit,Bachelor's degree
39000,28,Male,Employee of a private for profit,Bachelor's degree
21000,24,Male,Employee of a private for profit,Regular high school diploma
15000,48,Female,State government employee,no high school diploma
48000,26,Female,Local government employee,Master's degree
21800,32,Male,Employee of a private for profit,no high school diploma
23000,29,Female,Employee of a private for profit,"some college credit, no degree"
54000,40,Male,Local government employee,Regular high school diploma
158000,37,Male,Employee of a private for profit,Bachelor's degree
50000,48,Male,Self employed incorporated,Bachelor's degree
15200,23,Female,Employee of a private for profit,Bachelor's degree
14400,21,Female,Employee of a private for profit,no high school diploma
19900,20,Male,Employee of a private for profit,"some college credit, no degree"
4000,21,Female,Local government employee,Bachelor's degree
